"","Itens de cada categoria","ATIVIDADES (Definição das Atividades no link: https://eideia.ufc.br/wp-content/uploads/2024/03/casa-programa-de-formacao-em-docencia-do-ensino-superior-070324.pdf)","Metrica","Teto autorizado para cada atividade/ação docente (h)","Horas submetidas","Horas consideradas","","","","",""
"","CATEGORIA I - PALESTRAS, ENCONTROS, SEMINÁRIOS E REUNIÕES DIDÁTICOS - PEDAGÓCICOS ORGANIZADOS PELO CASa 🏡","","","","","","","","","",""
"","1.1","🏡 Café em CASa ","2h por atividade","28","#REF!","#REF!","","","","",""
"","1.2","🏡 Reunião da Comunidade (Encontro em CASa)"," 8h por reunião","16","#REF!","#REF!","","","","",""
"","1.3","🏡 Encontro de Docência no Ensino Superior (EDES) - Apresentação e/ou Avaliação de trabalho","2h por  apresentação/avaliação","20","#REF!","#REF!","","","","",""
"","1.4","🏡 Professor Inspirador (Profinsp) - Participação como ouvinte","2h por evento","4","#REF!","#REF!","","","","",""
"","1.5","🏡 Professor Inspirador (Profinsp) - Participação como organizador","8h por evento","8","#REF!","#REF!","","","","",""
"","1.6","🏡 Inovação Pedagógica (InovPed) - Apresentação de Projeto/Resumo/Relatório","5h por apresentação","30","#REF!","#REF!","","","","",""
"","1.7","🏡 Ação Docente (Encontro em CASa)","20h por Ação","40","#REF!","#REF!","","","","",""
"","1.8","🏡 Participação em cursos, minicursos, oficinas e jornadas didático-pedagógicos (EIDEIA)","carga horária do curso/minicurso/oficina/jornada","60","#REF!","#REF!","","","","",""
"","CATEGORIA II - CURSOS, MINICURSOS, OFICINAS E SEMANAS PEDAGÓGICAS","","","","","","","","","",""
"","2.1","Participação em cursos, minicursos, jornadas e/ou oficinas de gestão, pesquisa e extensão realizadas em parceria/ recomendado pela EIDEIA,  pela Escola Nacional de Administração Pública (ENAP) ou junto às pró-reitorias da UFC","carga horária do curso/minicurso/jornada/oficina","40","#REF!","#REF!","","","","",""
"","2.2","Semana Pedagógica nas Unidades Acadêmicas (Centro, Faculdade, Instituto ou Campus) da UFC - Participação como ouvinte das palestras","Até 8h por evento participado","24","#REF!","#REF!","","","","",""
"","2.3","Semana Pedagógica nas Unidades Acadêmicas (Centro, Faculdade, Instituto ou Campus) da UFC - Participação como organizador","15h por evento organizado","30","#REF!","#REF!","","","","",""
"","2.4","Participação em cursos de língua portuguesa,  voltados para os docentes estrangeiros,  realizadas em parcerias com EIDEIA e às pró-reitorias da UFC","carga horária do curso","30","","","","","","",""
"","CATEGORIA III - PARTICIPAÇÃO EM COMISSÕES E ORIENTAÇÃO DE DISCENTES","","","","","","","","","",""
"","3.1","Representante docente no Conselho da Unidade Acadêmica
(Centro, Faculdade, Instituto ou Campus)","2h por  reunião","10","#REF!","#REF!","","","","",""
"","3.2","Representante de Unidade Curricular no Colegiado do Curso","2h por reunião","10","#REF!","#REF!","","","","",""
"","3.3","Membro do Núcleo Docente Estruturante ","2h por reunião","10","#REF!","#REF!","","","","",""
"","3.4","Orientação de bolsistas vinculados a projetos de integração graduação/pós-graduação, pesquisa e extensão (PROPAG, PIBIC, PID, PIBIT, BIA, PET Aprendizagem Cooperativa, PREX, Monitoria e PAIP), coordenados pelo docente","10h por  aluno por 9 (nove) meses","20","#REF!","#REF!","","","","",""
"","CATEGORIA IV – PRODUÇÃO CIENTÍFICA, DE INOVAÇÃO, TÉCNICA OU ARTÍSTICA","","","","","","","","","",""
"","4.1","Produção de vídeos, videoaulas, podcasts, entrevistas em rádio ou TV, atividades culturais ou artísticas, atividades técnicas etc., com ênfase no ensino-aprendizagem","3h por produção","6","#REF!","#REF!","","","","",""
"","4.2","Apresentação de trabalhos em Congressos, Conferências, Seminários ou Encontros, com ênfase no ensino-aprendizagem"," 5h por apresentação","10","#REF!","#REF!","","","","",""
"","4.3","Publicação de artigos em periódicos científicos com ISSN e DOI e/ou livros, organização de livros e/ou capítulo de livros"," 5h por publicação","10","#REF!","#REF!","","","","",""
